ST	porB	tbpB
1	1	24
2	2	16
3	2	5
5	4	33
6	5	16
7	6	5
8	7	3
9	7	18
10	7	16
11	7	5
12	8	5
13	9	3
14	10	40
15	108	19
17	11	26
18	12	16
19	12	25
20	13	4
21	14	33
22	15	35
23	16	28
24	17	16
25	18	27
26	19	24
27	19	35
28	19	4
29	20	24
30	21	26
32	22	30
33	23	17
34	24	16
35	25	33
36	26	4
37	27	29
38	28	19
39	29	29
40	30	35
41	31	16
42	31	25
43	32	16
44	33	5
45	33	26
46	34	24
47	35	48
48	36	5
49	37	26
50	38	16
51	39	27
54	40	24
56	42	16
57	43	31
58	44	24
59	45	16
61	47	39
62	48	3
63	49	32
64	50	29
65	51	19
67	54	26
68	55	29
69	55	4
70	56	27
71	57	19
72	58	16
73	59	23
74	60	11
75	61	42
76	62	11
77	63	38
78	64	43
79	64	23
80	65	45
81	66	25
82	67	47
83	68	24
84	69	33
85	70	24
86	71	16
87	73	16
88	74	5
89	75	21
90	76	3
91	77	24
93	80	16
94	81	33
95	82	24
96	83	16
97	84	24
98	85	46
99	94	22
100	59	57
101	133	3
102	132	58
103	131	55
104	134	35
105	9	23
106	9	50
107	9	59
108	100	24
