Sample	qseqid	stitle	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	qlen	qcovs
positive_control_5	0	NC_022749.1 Shigella phage SfIV, complete genome	91.027	769	69	0	157	925	35185	35953	0.0	1038	39758	1052	73
positive_control_5	1	NC_042128.1 Escherichia phage RCS47, complete genome	90.686	773	71	1	155	926	108247	107475	0.0	1027	115154	1052	73
positive_control_5	2	NC_005856.1 Enterobacteria phage P1, complete genome	90.625	768	72	0	158	925	23393	22626	0.0	1020	94800	1052	73
positive_control_5	3	NC_042128.1 Escherichia phage RCS47, complete genome	99.214	1145	8	1	1	1144	107100	108244	0.0	2063	115154	1353	85
positive_control_5	4	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	376	0	0	1	376	114448	114823	0.0	695	115154	1353	85
positive_control_5	5	NC_022749.1 Shigella phage SfIV, complete genome	99.479	768	4	0	377	1144	35953	35186	0.0	1397	39758	1353	57
positive_control_5	6	NC_005856.1 Enterobacteria phage P1, complete genome	98.828	768	9	0	377	1144	22626	23393	0.0	1369	94800	1353	83
positive_control_5	7	NC_005856.1 Enterobacteria phage P1, complete genome	91.413	361	29	2	1	360	8074	7715	1.07e-137	494	94800	1353	83
positive_control_5	8	NC_031129.1 Salmonella phage SJ46, complete genome	99.822	1122	2	0	879	2000	62228	61107	0.0	2061	103445	5446	21
positive_control_5	9	NC_042128.1 Escherichia phage RCS47, complete genome	99.462	744	3	1	136	878	107501	108244	0.0	1351	115154	5446	14
positive_control_5	10	NC_005856.1 Enterobacteria phage P1, complete genome	99.327	743	5	0	136	878	22651	23393	0.0	1345	94800	5446	14
positive_control_5	11	NC_022749.1 Shigella phage SfIV, complete genome	98.131	749	14	0	136	884	35928	35180	0.0	1306	39758	5446	14
positive_control_5	12	NC_019768.1 Enterobacteria phage HK106, complete genome	94.444	54	3	0	1371	1424	20948	21001	3.69e-14	84.2	41468	1814	3
positive_control_5	13	NC_002167.1 Enterobacteria phage HK97, complete genome	94.444	54	3	0	1371	1424	20864	20917	3.69e-14	84.2	39732	1814	3
positive_control_5	14	NC_022749.1 Shigella phage SfIV, complete genome	94.271	768	44	0	612	1379	35186	35953	0.0	1175	39758	1506	51
positive_control_5	15	NC_042128.1 Escherichia phage RCS47, complete genome	93.896	770	46	1	612	1380	108244	107475	0.0	1160	115154	1506	51
positive_control_5	16	NC_005856.1 Enterobacteria phage P1, complete genome	93.880	768	47	0	612	1379	23393	22626	0.0	1158	94800	1506	51
positive_control_5	17	NC_042128.1 Escherichia phage RCS47, complete genome	100.000	361	0	0	1	361	16307	15947	0.0	667	115154	1799	20
