sample,fasta,,,,,,,,,,,,,,,,,,,,
MMR18-0202,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR18-0202.consensus.fa,,,,,,,,,,,,,,,,,,,,
MMR18-1116,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR18-1116.consensus.fa,,,,,,,,,,,,,,,,,,,,
MMR18-1139,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR18-1139.consensus.fa,,,,,,,,,,,,,,,,,,,,
MMR19-0132,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR19-0132.consensus.fa,,,,,,,,,,,,,,,,,,,,
MMR19-0536,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR19-0536.consensus.fa,,,,,,,,,,,,,,,,,,,,
MMR19-0560,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MMR19-0560.consensus.fa,,,,,,,,,,,,,,,,,,,,
MVs_Romania.2023.02,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MVs_Romania.2023.02.consensus.fa,,,,,,,,,,,,,,,,,,,,
MVs_Romania.2024.04,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MVs_Romania.2024.04.consensus.fa,,,,,,,,,,,,,,,,,,,,
MVs_Virginia.USA.39.21_5,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MVs_Virginia.USA.39.21_5.consensus.fa,,,,,,,,,,,,,,,,,,,,
MVs_Virginia.USA.40.21,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MVs_Virginia.USA.40.21.consensus.fa,,,,,,,,,,,,,,,,,,,,
MVs_Wisconsin.USA.39.21_1,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/MVs_Wisconsin.USA.39.21_1.consensus.fa,,,,,,,,,,,,,,,,,,,,
ROM_129_IF_2_28_2024,https://raw.githubusercontent.com/CDCgov/oamd-bio-test-data/refs/heads/meatree/samples/ROM_129_IF_2_28_2024.consensus.fa,,,,,,,,,,,,,,,,,,,,
