Sample_Taxid	clade_fragments_covered	abundance	name
0	9.0	0.08	Prevotella dentalis
1	1.0	0.01	Eggerthella lenta
2	3.0	0.03	Phocaeicola dorei
3	1.0	0.01	Bacteroides pyogenes
4	2.0	0.02	Prevotella multiformis
6	2.0	0.02	Bacteroides stercoris
7	1250.0	11.15	Orthoebolavirus sudanense
9	6.0	0.05	Campylobacter upsaliensis
10	1.0	0.01	Ehrlichia canis
11	16.0	0.14	Bacteroides thetaiotaomicron
12	1.0	0.01	Bacteroides salyersiae
13	1.0	0.01	Bacteroides nordii
14	1.0	0.01	Bacteroides caccae
15	1.0	0.01	Enterococcus faecalis
16	6.0	0.05	Haemophilus parainfluenzae
17	1.0	0.01	Paenibacillus alvei
18	10.0	0.09	Prevotella intermedia
19	2.0	0.02	Prevotella nigrescens
20	13.0	0.12	Alistipes shahii
21	1.0	0.01	Bilophila wadsworthia
23	2.0	0.02	Butyricimonas virosa
24	2.0	0.02	Dialister pneumosintes
25	1.0	0.01	Eggerthella lenta
26	129.0	1.15	Phocaeicola dorei
27	3.0	0.03	Butyricimonas faecihominis
28	44.0	0.39	Bacteroides stercoris
29	1255.0	11.19	Orthoebolavirus taiense
31	607.0	5.41	Bacteroides fragilis
32	299.0	2.67	Bacteroides thetaiotaomicron
33	2.0	0.02	Bacteroides salyersiae
34	80.0	0.71	Bacteroides nordii
35	342.0	3.05	Bacteroides caccae
36	2.0	0.02	Eubacterium callanderi
37	1.0	0.01	Porphyromonas gingivalis
38	1.0	0.01	Clostridioides difficile
39	2.0	0.02	Haemophilus parainfluenzae
40	1.0	0.01	Sutterella wadsworthensis
41	1.0	0.01	Prevotella nigrescens
42	1.0	0.01	Desulfovibrio desulfuricans
43	264.0	2.35	Alistipes onderdonkii
44	486.0	4.33	Alistipes shahii
45	6.0	0.05	Bilophila wadsworthia
47	1.0	0.01	Ralstonia mannitolilytica
48	4.0	0.04	Prevotella dentalis
49	1.0	0.01	Bacteroides pyogenes
50	1.0	0.01	Streptococcus sobrinus
51	1.0	0.01	Pseudomonas aeruginosa
52	6.0	0.05	Klebsiella aerogenes
54	5.0	0.04	Bacteroides stercoris
55	1.0	0.01	Serratia fonticola
56	1.0	0.01	Weissella confusa
57	1.0	0.01	Bacteroides fragilis
58	6.0	0.05	Bacteroides thetaiotaomicron
59	2.0	0.02	Bacteroides nordii
60	1.0	0.01	Bacteroides caccae
61	1.0	0.01	Hungatella hathewayi
62	1.0	0.01	Porphyromonas gingivalis
63	142.0	1.27	Comamonas kerstersii
64	1.0	0.01	Ralstonia pickettii
65	1.0	0.01	Haemophilus influenzae
66	1.0	0.01	Bacteroides zoogleoformans
67	53.0	0.47	Sutterella wadsworthensis
68	2.0	0.02	Prevotella intermedia
69	1.0	0.01	Gemella haemolysans
70	3.0	0.03	Prevotella nigrescens
71	2.0	0.02	Alistipes onderdonkii
72	1.0	0.01	Cruoricaptor ignavus
73	27.0	0.24	Edwardsiella tarda
74	1.0	0.01	Paenibacillus polymyxa
80	4.0	0.02	Klebsiella variicola
81	1.0	0.01	Raoultella ornithinolytica
82	1.0	0.01	Klebsiella aerogenes
83	1.0	0.01	Enterobacter cloacae
84	1.0	0.01	Klebsiella grimontii
85	135.0	0.68	Metamycoplasma hominis
86	2.0	0.01	Escherichia fergusonii
87	1.0	0.01	Pseudescherichia vulneris
88	1.0	0.01	Cronobacter malonaticus
89	6.0	0.03	Escherichia albertii
91	1.0	0.01	Kluyvera cryocrescens
92	1.0	0.01	Leclercia adecarboxylata
93	1.0	0.01	Enterobacter asburiae
94	1.0	0.01	Kosakonia cowanii
95	3.0	0.01	Salmonella enterica
96	1.0	0.01	Cedecea neteri
98	1.0	0.01	Enterobacter bugandensis
99	12.0	0.06	Shigella boydii
100	28.0	0.14	Shigella dysenteriae
101	993.0	4.96	Shigella flexneri
102	2.0	0.01	Shigella sonnei
103	1.0	0.01	Citrobacter rodentium
104	2.0	0.01	Scandinavium goeteborgense
106	1.0	0.01	Klebsiella variicola
107	1.0	0.01	Phocaeicola dorei
108	11.0	0.1	Bacteroides stercoris
109	1261.0	11.3	Orthoebolavirus bundibugyoense
110	9.0	0.08	Bacteroides fragilis
111	2.0	0.02	Bacteroides thetaiotaomicron
112	1.0	0.01	Escherichia fergusonii
113	1.0	0.01	Bacteroides salyersiae
114	12.0	0.11	Escherichia albertii
115	1.0	0.01	Comamonas kerstersii
116	2.0	0.02	Ralstonia pickettii
117	2.0	0.02	Haemophilus parainfluenzae
118	1.0	0.01	Porphyromonas asaccharolytica
119	1.0	0.01	Salmonella enterica
120	1.0	0.01	Cedecea neteri
121	2.0	0.02	Campylobacter hominis
123	1.0	0.01	Shigella boydii
124	6.0	0.05	Shigella dysenteriae
125	3.0	0.03	Shigella flexneri
126	1.0	0.01	Shigella sonnei
127	1.0	0.01	Citrobacter farmeri
128	1.0	0.01	Yersinia pestis
129	1.0	0.01	Prevotella dentalis
130	1.0	0.01	Butyricimonas virosa
131	1.0	0.01	Microvirgula aerodenitrificans
132	1.0	0.01	Eggerthella lenta
133	37.0	0.33	Phocaeicola dorei
134	1.0	0.01	Prevotella multiformis
135	1.0	0.01	Klebsiella aerogenes
139	1255.0	11.19	Orthoebolavirus zairense
140	82.0	0.73	Bacteroides fragilis
141	244.0	2.18	Bacteroides thetaiotaomicron
142	3.0	0.03	Bacteroides salyersiae
143	6.0	0.05	Bacteroides nordii
144	9.0	0.08	Hungatella hathewayi
145	1.0	0.01	Haemophilus influenzae
146	1.0	0.01	Haemophilus parainfluenzae
147	1.0	0.01	Porphyromonas endodontalis
148	33.0	0.29	Sutterella wadsworthensis
149	4.0	0.04	Prevotella intermedia
150	1.0	0.01	Salmonella enterica
151	198.0	1.77	Candidatus Campylobacter infans
152	27.0	0.24	Alistipes onderdonkii
153	1.0	0.01	Citrobacter farmeri
154	4.0	0.04	Bilophila wadsworthia
155	1261.0	99.92	Orthoebolavirus bundibugyoense
164	1.0	0.01	Enterobacter kobei
165	1.0	0.01	Lwoffella lincolnii
166	7.0	0.04	Escherichia albertii
167	3.0	0.01	Salmonella enterica
168	1.0	0.01	Shigella sonnei
169	166.0	0.83	Metamycoplasma hominis
170	6207.0	31.04	Escherichia fergusonii
172	1.0	0.01	Klebsiella quasipneumoniae
173	1.0	0.01	Raoultella planticola
